(61385083, [2.0, 0.18, 0.0, 0.21, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.94, -2.05, -0.31, -1.36, 53.9, 45.82, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(61484762, [2.0, 0.19, 0.0, 0.22, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.02, -1.88, -0.31, -0.95, 53.9, 45.96, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(61584802, [2.0, 0.19, 0.0, 0.22, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.06, -1.34, -0.31, -1.09, 53.9, 46.05, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(61684627, [2.0, 0.19, 0.0, 0.22, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.08, -1.38, -0.31, -1.1, 53.9, 46.05, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(61784531, [2.0, 0.19, 0.0, 0.23, 0.0, 3.6, 0.0, 2.79, 0.0, 0.0], [-3.0, -1.62, -0.31, -1.31, 53.9, 46.01, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(61884698, [2.0, 0.19, 0.0, 0.23, 0.0, 3.6, 0.0, 2.79, 0.0, 0.0], [-2.64, -1.14, -0.31, -1.91, 53.9, 46.1, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(61984354, [2.0, 0.19, 0.0, 0.24, 0.0, 3.6, 0.0, 2.81, 0.0, 0.0], [-2.46, -1.1, -0.31, -2.12, 53.9, 46.1, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(62084770, [2.0, 0.19, 0.0, 0.24, 0.0, 3.6, 0.0, 2.81, 0.0, 0.0], [-2.38, -0.94, -0.31, -1.98, 53.9, 46.11, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(62184719, [2.0, 0.19, 0.0, 0.24, 0.0, 3.6, 0.0, 2.77, 0.0, 0.0], [-2.33, -1.02, -0.31, -1.92, 53.9, 46.19, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(62284807, [2.0, 0.19, 0.0, 0.24, 0.0, 3.6, 0.0, 2.77, 0.0, 0.0], [-2.3, -0.86, -0.31, -1.67, 53.9, 46.18, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(62384319, [2.0, 0.18, 0.0, 0.24, 0.0, 3.6, 0.0, 2.79, 0.0, 0.0], [-2.29, -0.28, -0.31, -1.78, 53.9, 46.19, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(62484698, [2.0, 0.18, 0.0, 0.24, 0.0, 3.6, 0.0, 2.76, 0.0, 0.0], [-2.28, -0.03, -0.31, -1.75, 53.9, 46.2, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(62584499, [2.0, 0.19, 0.0, 0.23, 0.0, 3.6, 0.0, 2.79, 0.0, 0.0], [-2.28, -0.43, -0.31, -1.81, 53.9, 46.13, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(62684539, [2.0, 0.19, 0.0, 0.23, 0.0, 3.6, 0.0, 2.79, 0.0, 0.0], [-2.28, -0.37, -0.3, -1.78, 53.9, 46.09, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(62784472, [2.0, 0.18, 0.0, 0.23, 0.0, 3.6, 0.0, 2.82, 0.0, 0.0], [-2.29, -0.71, -0.31, -2.02, 53.9, 46.08, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(62884598, [2.0, 0.19, 0.0, 0.22, 0.0, 3.6, 0.0, 2.79, 0.0, 0.0], [-2.29, -1.0, -0.31, -1.64, 53.9, 46.15, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(100105638, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, -0.39, 0.0, 0.1, 58.49, 58.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(100205821, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, -0.38, 0.0, 0.1, 58.5, 58.49, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(100305789, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, -0.39, 0.0, 0.1, 58.51, 58.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(100405718, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, -0.39, 0.0, 0.1, 58.52, 58.51, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(100505637, [2.0, 0.59, 0.0, 0.44, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [0.0, -0.38, 0.0, 0.11, 58.53, 58.52, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
