(17749416, [2.0, 0.27, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.9, 0.07, 2.41, 0.65, 0.82, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17849366, [2.0, 0.23, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.86, 0.07, 2.51, 0.65, 0.82, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17949350, [2.0, 0.23, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.82, 0.07, 2.6, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18049131, [2.0, 0.3, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.83, 0.07, 2.59, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18149196, [2.0, 0.32, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.87, 0.06, 2.49, 0.65, 0.82, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18249200, [2.0, 0.32, 0.0, 0.25, 0.0, 3.6, 0.0, 0.11, 0.0, 0.0], [-8.52, 0.07, 2.57, 0.67, 0.82, 0.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18349375, [2.0, 0.32, 0.0, 0.25, 0.0, 3.6, 0.0, 0.13, 0.0, 0.0], [-4.03, 0.07, 2.94, 0.66, 0.82, 0.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18449390, [2.0, 0.31, 0.0, 0.26, 0.0, 3.6, 0.0, 0.13, 0.0, 0.0], [-1.59, 0.07, 3.13, 0.66, 0.82, 0.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18549385, [2.0, 0.31, 0.0, 0.27, 0.0, 3.6, 0.0, 0.19, 0.0, 0.0], [-0.4, 0.07, 3.23, 0.66, 0.82, 0.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18649275, [2.0, 0.31, 0.0, 0.27, 0.0, 3.6, 0.0, 0.22, 0.0, 0.0], [0.02, 0.06, 3.3, 0.66, 0.82, 0.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18749625, [2.0, 0.31, 0.0, 0.27, 0.0, 3.6, 0.0, 0.29, 0.0, 0.0], [0.01, 0.07, 3.34, 0.65, 0.82, 0.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18849363, [2.0, 0.31, 0.0, 0.26, 0.0, 3.6, 0.0, 0.29, 0.0, 0.0], [-0.06, 0.07, 3.35, 0.63, 0.82, 0.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18949275, [2.0, 0.32, 0.0, 0.27, 0.0, 3.6, 0.0, 0.26, 0.0, 0.0], [-0.02, 0.08, 3.36, 0.65, 0.82, 0.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19049531, [2.0, 0.32, 0.0, 0.27, 0.0, 3.6, 0.0, 0.28, 0.0, 0.0], [0.0, 0.07, 3.36, 0.65, 0.82, 0.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19149429, [2.0, 0.32, 0.0, 0.27, 0.0, 3.6, 0.0, 0.28, 0.0, 0.0], [-0.03, 0.07, 3.36, 0.66, 0.82, 0.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19249349, [2.0, 0.31, 0.0, 0.29, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-1.32, 0.07, 3.11, 0.65, 0.82, 0.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19349213, [2.0, 0.31, 0.0, 0.3, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-5.09, 0.07, 2.78, 0.65, 0.82, 0.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19449267, [2.0, 0.31, 0.0, 0.3, 0.0, 3.6, 0.0, 0.25, 0.0, 0.0], [-5.76, 0.07, 2.87, 0.65, 0.82, 0.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19549228, [2.0, 0.3, 0.0, 0.31, 0.0, 3.6, 0.0, 0.24, 0.0, 0.0], [-2.64, 0.07, 3.12, 0.65, 0.82, 0.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19649411, [2.0, 0.29, 0.0, 0.32, 0.0, 3.6, 0.0, 0.24, 0.0, 0.0], [-1.06, 0.07, 3.26, 0.66, 0.82, 0.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19749582, [2.0, 0.29, 0.0, 0.33, 0.0, 3.6, 0.0, 0.26, 0.0, 0.0], [-0.3, 0.07, 3.33, 0.66, 0.82, 0.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19849387, [2.0, 0.28, 0.0, 0.34, 0.0, 3.6, 0.0, 0.26, 0.0, 0.0], [0.08, 0.07, 3.37, 0.66, 0.82, 0.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
