(36459567, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.14, 0.0, 0.0], [-3.31, -0.11, -0.59, 0.19, 144.9, 150.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36560072, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.3, -0.11, -0.59, 0.19, 144.9, 150.52, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36659478, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.11, -0.59, 0.18, 144.9, 150.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36759676, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.11, -0.59, 0.18, 144.9, 150.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36859309, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.29, -0.11, -0.59, 0.18, 144.9, 150.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36961177, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.3, -0.11, -0.59, 0.17, 144.9, 151.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37061220, [2.0, 0.61, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.3, -0.1, -0.59, 0.18, 144.9, 151.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37163025, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.31, -0.1, -0.58, 0.17, 144.9, 151.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37263923, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.1, -0.59, 0.17, 144.9, 151.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37366651, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.32, -0.1, -0.59, 0.17, 144.9, 151.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37469898, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.33, -0.09, -0.59, 0.16, 144.9, 151.84, 0.0, 1.0], [0.57, 25.0, 0.0, 0.0])
(37574678, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.32, -0.09, -0.59, 0.16, 144.9, 151.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37677016, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.1, -0.59, 0.15, 144.9, 152.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37776219, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.1, -0.58, 0.15, 144.9, 152.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37877625, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.09, -0.59, 0.15, 144.9, 152.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(37979197, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.31, -0.09, -0.59, 0.15, 144.9, 152.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38082336, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.32, -0.09, -0.59, 0.15, 144.9, 152.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38180809, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.32, -0.09, -0.59, 0.15, 144.9, 152.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38285788, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.32, -0.09, -0.59, 0.14, 144.9, 153.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
